# MO Energy Levels
#
#
# Alpha MOs
#    num     occ              Energy
      33       0      219.0083680000
      32       0       26.7558673000
      31       0       26.6084998000
      30       0       26.6084998000
      29       0       10.1823286000
      28       0        2.8094630000
      27       0        2.5906317500
      26       0        2.5906317500
      25       0        2.4555224200
      24       0        1.3714502500
      23       0        1.1381895100
      22       0        1.1381895100
      21       0        1.1115399000
      20       0        1.1115399000
      19       0        1.0154043000
      18       0        0.5924397390
      17       0        0.5924397390
      16       0        0.5886643990
      15       0        0.4710812130
      14       0        0.1683521840
      13       0        0.1253716870
      12       0        0.1253716870
      11       0        0.1220123380
      10       0        0.0917203193
       9       2       -0.4772989320
       8       2       -0.4772989320
       7       2       -0.6306482260
       6       2       -1.1219037600
       5       2       -8.0414847500
       4       2       -8.0414847500
       3       2       -8.0453790400
       2       2      -10.5764964000
       1       2     -104.8497210000
